Date,File Names,Cloud Fraction,Okta
2020-01-01 07:42:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0101_074200.jpg,SCT,4
2020-01-01 08:10:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0101_081000.jpg,SCT,3
2020-01-02 10:38:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0102_103800.jpg,OVC,8
2020-01-02 13:14:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0102_131400.jpg,OVC,8
2020-01-03 08:40:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0103_084000.jpg,OVC,8
2020-01-03 08:51:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0103_085100.jpg,OVC,8
2020-01-03 11:49:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0103_114900.jpg,OVC,8
2020-01-04 07:44:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0104_074400.jpg,SCT,3
2020-01-04 08:08:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0104_080800.jpg,SCT,3
2020-01-04 12:16:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0104_121600.jpg,SCT,3
2020-01-04 14:01:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0104_140100.jpg,BKN,7
2020-01-04 14:26:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0104_142600.jpg,BKN,7
2020-01-04 14:34:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0104_143400.jpg,OVC,8
2020-01-05 06:55:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0105_065500.jpg,FEW,2
2020-01-05 15:32:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0105_153200.jpg,FEW,2
2020-01-06 11:05:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0106_110500.jpg,FEW,2
2020-01-06 11:25:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0106_112500.jpg,FEW,2
2020-01-06 13:06:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0106_130600.jpg,FEW,2
2020-01-06 13:47:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0106_134700.jpg,FEW,2
2020-01-07 12:04:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0107_120400.jpg,FEW,2
2020-01-07 13:19:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0107_131900.jpg,FEW,2
2020-01-07 14:58:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0107_145800.jpg,FEW,2
2020-01-08 07:26:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0108_072600.jpg,FEW,2
2020-01-08 07:55:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0108_075500.jpg,FEW,2
2020-01-09 09:59:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0109_095900.jpg,SCT,4
2020-01-09 11:55:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0109_115500.jpg,BKN,5
2020-01-09 13:05:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0109_130500.jpg,BKN,7
2020-01-09 14:09:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0109_140900.jpg,BKN,5
2020-01-09 14:49:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0109_144900.jpg,BKN,5
2020-01-10 07:14:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0110_071400.jpg,BKN,7
2020-01-10 14:56:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0110_145600.jpg,OVC,8
2020-01-11 15:42:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0111_154200.jpg,BKN,7
2020-01-12 08:39:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0112_083900.jpg,OVC,8
2020-01-12 09:29:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0112_092900.jpg,OVC,8
2020-01-12 13:40:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0112_134000.jpg,SCT,3
2020-01-12 14:48:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0112_144800.jpg,SCT,3
2020-01-13 12:49:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0113_124900.jpg,BKN,6
2020-01-13 15:40:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0113_154000.jpg,OVC,8
2020-01-13 16:11:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0113_161100.jpg,OVC,8
2020-01-14 08:14:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0114_081400.jpg,OVC,8
2020-01-14 11:41:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0114_114100.jpg,OVC,8
2020-01-14 12:01:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0114_120100.jpg,OVC,8
2020-01-14 12:32:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0114_123200.jpg,OVC,8
2020-01-15 13:52:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0115_135200.jpg,OVC,8
2020-01-15 16:04:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0115_160400.jpg,OVC,8
2020-01-15 16:10:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0115_161000.jpg,OVC,8
2020-01-16 13:30:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0116_133000.jpg,SCT,4
2020-01-17 10:08:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0117_100800.jpg,BKN,7
2020-01-17 13:01:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0117_130100.jpg,SCT,3
2020-01-17 13:09:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0117_130900.jpg,SCT,3
2020-01-18 09:36:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0118_093600.jpg,OVC,8
2020-01-18 11:38:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0118_113800.jpg,OVC,8
2020-01-18 15:26:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0118_152600.jpg,OVC,8
2020-01-19 13:48:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0119_134800.jpg,FEW,2
2020-01-19 15:10:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0119_151000.jpg,FEW,2
2020-01-20 07:22:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0120_072200.jpg,BKN,7
2020-01-20 09:35:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0120_093500.jpg,OVC,8
2020-01-20 11:14:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0120_111400.jpg,OVC,8
2020-01-20 11:52:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0120_115200.jpg,OVC,8
2020-01-20 12:13:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0120_121300.jpg,OVC,8
2020-01-20 14:17:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0120_141700.jpg,BKN,7
2020-01-20 15:31:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0120_153100.jpg,BKN,7
2020-01-21 07:28:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0121_072800.jpg,SCT,4
2020-01-21 12:37:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0121_123700.jpg,SCT,3
2020-01-21 12:56:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0121_125600.jpg,SCT,3
2020-01-21 13:56:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0121_135600.jpg,SCT,3
2020-01-21 14:04:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0121_140400.jpg,SCT,3
2020-01-21 16:45:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0121_164500.jpg,FEW,2
2020-01-22 11:29:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0122_112900.jpg,BKN,6
2020-01-23 11:09:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0123_110900.jpg,OVC,8
2020-01-23 14:10:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0123_141000.jpg,OVC,8
2020-01-23 14:50:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0123_145000.jpg,OVC,8
2020-01-23 15:13:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0123_151300.jpg,OVC,8
2020-01-24 09:16:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0124_091600.jpg,BKN,7
2020-01-24 09:44:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0124_094400.jpg,OVC,8
2020-01-24 10:08:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0124_100800.jpg,BKN,7
2020-01-24 13:46:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0124_134600.jpg,BKN,7
2020-01-26 09:27:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0126_092700.jpg,OVC,8
2020-01-26 15:07:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0126_150700.jpg,OVC,8
2020-01-27 07:47:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0127_074700.jpg,OVC,8
2020-01-27 09:49:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0127_094900.jpg,OVC,8
2020-01-27 12:23:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0127_122300.jpg,BKN,6
2020-01-27 13:14:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0127_131400.jpg,SCT,4
2020-01-28 08:04:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_080400.jpg,SCT,3
2020-01-28 08:47:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_084700.jpg,SCT,3
2020-01-28 10:48:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_104800.jpg,FEW,2
2020-01-28 12:09:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_120900.jpg,FEW,2
2020-01-28 13:40:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_134000.jpg,SCT,4
2020-01-28 15:02:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_150200.jpg,SCT,3
2020-01-28 15:04:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_150400.jpg,SCT,3
2020-01-28 15:32:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0128_153200.jpg,SCT,3
2020-01-29 08:22:00,../Tensorflow/workspace/swirll_demo/images/swirlldata2020_0129_082200.jpg,BKN,6
